Index,B cells,Epithelial cells,Mast cells,Myeloids,Stromal cells,T cells
LRAT,0.00046737184,0.0024634888,0.016816238,0.00026623532,0.010082903,0.0002740462
LRBA,0.062243123,0.36456198,0.010579195,0.02781146,0.10070165,0.13535848
LRCH1,0.030192442,0.21961941,0.037162863,0.046181556,0.1872304,0.017445132
LRCH2,0.000221682,7.556473e-05,0.006369723,0.00017832161,0.05257338,5.698249e-05
LRCH3,0.03944973,0.12460174,0.013908829,0.035920076,0.14570437,0.026621671
LRCH4,0.11055747,0.3315395,0.07351442,0.17498688,0.11870724,0.13225174
LRCOL1,0.00012577031,7.293466e-05,0.00693088,0.0002909293,0.009932176,5.9344307e-05
LRFN1,0.0005069193,0.00036169245,0.008108512,0.002406588,0.009540335,0.0016969015
LRFN2,0.00013205159,0.0005722886,0.008281238,0.00017352113,0.00019271458,5.8865553e-05
LRFN3,0.0013699168,0.05471356,0.0059442995,0.0013732384,0.043579575,0.001469511
LRFN4,0.0013907165,0.3905435,0.016118906,0.019315563,0.03461932,0.0017399635
LRFN5,0.00013115362,9.0460395e-05,0.007213069,0.00022442565,0.024114015,5.2684256e-05
LRG1,0.0031716526,0.2018189,0.010933464,0.056693524,0.059862893,0.0007737899
LRGUK,0.00030926798,0.00079856213,0.006560421,0.00048289454,0.00089233427,5.554914e-05
LRIF1,0.10121626,0.33112577,0.029756315,0.08938908,0.12544955,0.039459545
LRIG1,0.008953515,0.19079293,0.022292705,0.0021671592,0.1370352,0.044221018
LRIG2,0.015808716,0.059491917,0.014551946,0.004241523,0.03521894,0.0053167306
LRIG3,0.0023096777,0.1412985,0.006029659,0.00091085985,0.123868644,0.00014693482
LRIT3,0.00018968755,0.0004217638,0.0073247724,0.00020401724,0.0004217063,6.4671076e-05
LRMP,0.17866428,0.07564261,0.053617846,0.047318734,0.022849612,0.08066434
LRP1,0.015151931,0.34041587,0.0061137965,0.3433146,1.1689306,0.0010286203
LRP1-AS,0.00013395477,0.0011085758,0.013171409,0.00089845073,0.00020816017,6.026104e-05
LRP10,0.38977456,1.6225445,0.0414357,0.28912598,1.1486455,0.19205885
LRP11,0.0019046124,0.4408122,0.0059289457,0.01222614,0.15000384,0.00074108184
LRP12,0.0006778822,0.0431532,0.036356933,0.083459534,0.10389356,0.018497424
LRP2,0.0005339149,0.00014722353,0.008855838,0.00017175259,0.00027454004,5.068531e-05
LRP2BP,0.02248079,0.015811961,0.0058057304,0.001502732,0.015824147,0.0075565847
LRP3,0.0008833312,0.19851962,0.012146548,0.014830072,0.1225962,0.00027967128
LRP4,0.0004787598,0.15638214,0.024706818,0.0013938755,0.025363373,0.00022863044
LRP4-AS1,0.00018695767,0.0060159825,0.0062574907,0.0030789154,0.0038309237,9.0385576e-05
LRP5,0.01692663,0.45592058,0.010979814,0.010475767,0.10555355,0.0009345365
LRP5L,0.008606529,0.06979129,0.010103295,0.003316987,0.011579013,0.0050988286
LRP6,0.005410894,0.22384322,0.005897062,0.0017730253,0.14749996,0.0005834095
LRP8,0.0007942941,0.13322087,0.0064037563,0.012415629,0.0089406865,0.0027744
